Número de identificação da publicação;Link permanente;Publicar mensagem;Tipo;Países;Idiomas;Publicado;Direcionamento do público;Lifetime Post Total Reach;Lifetime Post organic reach;Lifetime Post Paid Reach;Lifetime Post Total Impressions;Lifetime Post Organic Impressions;Lifetime Post Paid Impressions;Lifetime Engaged Users;Lifetime Matched Audience Targeting Consumers on Post;Lifetime Matched Audience Targeting Consumptions on Post;Lifetime Negative Feedback from Users;Lifetime Negative Feedback;Lifetime Post Impressions by people who have liked your Page;Lifetime Post reach by people who like your Page;Lifetime Post Paid Impressions by people who have liked your Page;Lifetime Paid reach of a post by people who like your Page;Lifetime People who have liked your Page and engaged with your post;Lifetime Organic views to 95%...25;Lifetime Organic views to 95%...26;Lifetime Paid views to 95%...27;Lifetime Paid views to 95%...28;Lifetime Organic Video Views...29;Lifetime Organic Video Views...30;Lifetime Paid Video Views...31;Lifetime Paid Video Views...32;Lifetime Average time video viewed;Lifetime Video length;Descrição;share;like;comment
417092451820846_679087295621359;https://www.facebook.com/lojascitycol/photos/a.418868384976586/679087295621359/?type=3;Nossa loja de Cachoeiro de Itapemirim já recebeu as novidades do Verão 17.🌴🌺 Venham conferir!  #Verao2017Citycol #modabarata #NaCitycolTem;Photo;NA;NA;2017-09-06T07:02:01Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;3;305;9
417092451820846_678876025642486;https://www.facebook.com/lojascitycol/photos/a.418868384976586/678876025642486/?type=3;E essa semana a Coleção de Verão 17 está chegando em todas as lojas. 🌴😍 A Lu, do @aieuqueroo ficou MUSA com o nosso longo, não é?🌺;Photo;NA;NA;2017-09-05T16:01:54Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;4;307;12
417092451820846_678701935659895;https://www.facebook.com/lojascitycol/photos/a.418868384976586/678701935659895/?type=3;Cabo Frio está com novidades apaixonantes. Vem conferir de pertinho!🌸😍 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-09-05T07:01:47Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;3;213;3
417092451820846_678465589016863;https://www.facebook.com/lojascitycol/photos/a.418868384976586/678465589016863/?type=3;Para colorir o dia das pequenas. R$12,99 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-09-04T16:01:26Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;201;9
417092451820846_678307379032684;https://www.facebook.com/lojascitycol/photos/a.418868384976586/678307379032684/?type=3;Detalhes do nosso abacaxi de paetês!😍🍍💛;Photo;NA;NA;2017-09-04T07:01:37Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;190;14
417092451820846_678062165723872;https://www.facebook.com/lojascitycol/photos/a.418868384976586/678062165723872/?type=3;O espírito tropical tá invadindo a City!🍍🌺😍 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-09-03T14:25:19Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;6;630;18
417092451820846_677556309107791;https://www.facebook.com/lojascitycol/photos/a.418868384976586/677556309107791/?type=3;Para as pequenas que amam pink! 12,99 🌸 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-09-02T07:01:53Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;125;2
417092451820846_677302885799800;https://www.facebook.com/lojascitycol/photos/a.418868384976586/677302885799800/?type=3;Nossa loja de Vila Isabel tá recheada de novidades pra vocês! Aproveitem o sabadão pra conferir de pertinho!😉 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-09-01T16:01:25Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;5;324;7
417092451820846_677115709151851;https://www.facebook.com/lojascitycol/photos/a.418868384976586/677115709151851/?type=3;Um arco-íris de cores para as pequenas! R$12,99. #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-09-01T07:01:29Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;4;276;11
417092451820846_676885352508220;https://www.facebook.com/lojascitycol/photos/a.418868384976586/676885352508220/?type=3;Aquele zoom para vocês verem bem de pertinho!🌸 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-31T16:01:15Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;150;7
417092451820846_676725862524169;https://www.facebook.com/lojascitycol/photos/a.418868384976586/676725862524169/?type=3;Mais uma variante do nosso vestido apaixonante! 🌸 R$49,99 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-31T07:01:41Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;4;301;8
417092451820846_676506722546083;https://www.facebook.com/lojascitycol/photos/a.418868384976586/676506722546083/?type=3;E quem não essa estampa de abacaxi, hein? 🍍 R$29,99 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-30T16:01:03Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;3;200;15
417092451820846_676341112562644;https://www.facebook.com/lojascitycol/photos/a.418868384976586/676341112562644/?type=3;#regram cheio de amor por esse look que a lindona da Kate postou com o nosso vestido muso!😍 Amamooos! #CityBloggers #NaCitycolTem #modabarata;Photo;NA;NA;2017-08-30T07:01:51Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;2;153;1
417092451820846_676101305919958;https://www.facebook.com/lojascitycol/photos/a.418868384976586/676101305919958/?type=3;Não dá para resistir! Leve uma de cada cor para a sua princesa! 😍R$12,99 #kids #modabarata #lookdodia #NaCitycolTem;Photo;NA;NA;2017-08-29T16:01:13Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;4;372;20
417092451820846_675682275961861;https://www.facebook.com/lojascitycol/photos/a.418868384976586/675682275961861/?type=3;#regram da nossa linda Roberta do @carioca_plus_size com look todinho Citycol! 🌴😍 #CityBloggers #NaCitycolTem #modabarata;Photo;NA;NA;2017-08-28T16:02:10Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;155;4
417092451820846_675535869309835;https://www.facebook.com/lojascitycol/photos/a.418868384976586/675535869309835/?type=3;Para morrer de amores com o look da nossa embaixadora Amanda do @achadosfashion_rj com o vestido florido de apenas 49,99.😍#regram #CityBloggers #NaCitycolTem #modabarata;Photo;NA;NA;2017-08-28T07:02:34Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;102;1
417092451820846_675278022668953;https://www.facebook.com/lojascitycol/photos/a.418868384976586/675278022668953/?type=3;Fofura de domingo com a nossa #CityBlogger @elis_shiis usando nosso conjunto de poá. 😍#regram #CityBloggers #NaCitycolTem #kids #modabarata;Photo;NA;NA;2017-08-27T14:01:13Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;275;5
417092451820846_674572889406133;https://www.facebook.com/lojascitycol/photos/a.418868384976586/674572889406133/?type=3;Detalhes da nossa estampa tropical que está fazendo o maior sucesso!🌸  #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-25T16:01:31Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;2;107;1
417092451820846_674430749420347;https://www.facebook.com/lojascitycol/photos/a.418868384976586/674430749420347/?type=3;Mais uma variante da nossa blusa tropical! É para morrer de amores! R$29,99🌺🌴 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-25T07:05:28Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;4;344;12
417092451820846_674232012773554;https://www.facebook.com/lojascitycol/photos/a.418868384976586/674232012773554/?type=3;Nossa loja de Araruama está com todas as blusinhas que postamos aqui! Vem garantir logo a sua!😉 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-24T16:01:39Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;2;265;3
417092451820846_674080646122024;https://www.facebook.com/lojascitycol/photos/a.418868384976586/674080646122024/?type=3;#NaCitycolTem roupa pra criança! Por apenas 9,99 você leva para casa regatinhas fofinhas bordadas em várias cores!😍🙃 #kids #modabarata #lookdodia;Photo;NA;NA;2017-08-24T07:01:22Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;6;228;3
417092451820846_673875672809188;https://www.facebook.com/lojascitycol/photos/a.418868384976586/673875672809188/?type=3;Aquele close certo na estampa da nossa regata que vocês amaram!😍 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-23T16:01:12Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;3;208;10
417092451820846_673720442824711;https://www.facebook.com/lojascitycol/photos/a.418868384976586/673720442824711/?type=3;"Continuando com os cliques da convenção de verão! Tá aí um poquinho do coleção cápsula ""Jardim Natural""🌺🌴 #Verao2017Citycol #CityBloggers #NaCitycolTem";Photo;NA;NA;2017-08-23T07:01:32Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;141;2
417092451820846_673491629514259;https://www.facebook.com/lojascitycol/photos/a.418868384976586/673491629514259/?type=3;Flores que deixam qualquer look mais romântico e lindo! 🌸R$19,99 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-22T16:01:02Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;194;5
417092451820846_673354909527931;https://www.facebook.com/lojascitycol/photos/a.418868384976586/673354909527931/?type=3;Mais um pouquinho do que rolou na convenção de verão no sábado. Preparem-se para se apaixonar!😍🌺🌴 #Verao2017Citycol #CityBloggers #NaCitycolTem;Photo;NA;NA;2017-08-22T07:02:05Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;3;132;6
417092451820846_672998829563539;https://www.facebook.com/lojascitycol/photos/a.418868384976586/672998829563539/?type=3;A loja de Caxias também já está com novidades incríveis para vocês! Venham conferir!💙 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-21T07:01:05Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;2;231;1
417092451820846_672767732919982;https://www.facebook.com/lojascitycol/photos/a.418868384976586/672767732919982/?type=3;Aquele look para morrer de amores e no precinho que a gente AMA! 😍 #regram do @ameiessemimo #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-20T14:00:38Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;4;302;15
417092451820846_672332539630168;https://www.facebook.com/lojascitycol/photos/a.418868384976586/672332539630168/?type=3;Blusinhas para todos os gostos e cheias de estilo! Vem para a City de Nilópolis conferir as novidades!! 💙 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-19T10:00:41Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;114;NA
417092451820846_672027576327331;https://www.facebook.com/lojascitycol/photos/a.418868384976586/672027576327331/?type=3;Detalhes da blusinha que postamos hoje! Linda, né? Melhor é o preço! Apenas R$19,99🌸 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-18T16:00:58Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;2;128;9
417092451820846_671863996343689;https://www.facebook.com/lojascitycol/photos/a.418868384976586/671863996343689/?type=3;Clique da blogger @mariicostaa com a nossa regatinha de R$19,99!🌸 Amamos, Mari! #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-18T07:01:56Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;3;111;1
417092451820846_671620669701355;https://www.facebook.com/lojascitycol/photos/a.418868384976586/671620669701355/?type=3;Nossa loja de Eunápolis, na Bahia, está repleta de novidades e prontinha para receber a visita de vocês!💙 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-17T16:01:17Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;2;209;3
417092451820846_671543573042398;https://www.facebook.com/lojascitycol/posts/671543573042398;Deu a louca na Citycol! A partir de hoje, em todas as lojas, blusinhas lindas por apenas R$9,99 estarão esperando por vocês! Corram para aproveitar!  *promoção válida enquanto durarem os estoques.;Photo;NA;NA;2017-08-17T11:25:00Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;276;9905;1022
417092451820846_671472366382852;https://www.facebook.com/lojascitycol/photos/a.418868384976586/671472366382852/?type=3;Aquele body para morrermos de amores!😍 #regram dos @achadosdasbonitas  #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-17T07:01:24Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;2;256;16
417092451820846_671191279744294;https://www.facebook.com/lojascitycol/photos/a.418868384976586/671191279744294/?type=3;Agora foi a vez do amarelo tomar conta da nossa loja de Campos. Venham conferir de pertinho!💛  #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-16T16:03:15Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;374;11
417092451820846_671016729761749;https://www.facebook.com/lojascitycol/photos/a.418868384976586/671016729761749/?type=3;Começando o dia com #regram da #CityBlogger @carioca_plus_size que garantiu a t-shirt com estampa tropical +listras! Apostem nessa tendência, amigas!😍👌 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-16T07:01:24Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;102;4
417092451820846_670747703121985;https://www.facebook.com/lojascitycol/photos/a.418868384976586/670747703121985/?type=3;O azul, as flores e o amarelo invadiram a nossa loja de Cachoeiro de Itapemirim!💙🌸💛 Venham conferir as novidades!! #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-15T16:01:20Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;3;500;11
417092451820846_670160073180748;https://www.facebook.com/lojascitycol/photos/a.418868384976586/670160073180748/?type=3;As estampas tropicais estão com tudo! Aposte!🌴🌺 19,99 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-14T07:01:10Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;152;NA
417092451820846_669694336560655;https://www.facebook.com/lojascitycol/photos/a.418868384976586/669694336560655/?type=3;Hoje é dia de parabenizar aquele que é o seu grande herói! A City deseja um dia incrível a todos os paizões! 💙 #DiadosPaisCitycol #DiadosPais;Photo;NA;NA;2017-08-13T07:01:38Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;33;NA
417092451820846_669280816602007;https://www.facebook.com/lojascitycol/photos/a.418868384976586/669280816602007/?type=3;Para quem compra de última hora, a gente avisa: ainda dá tempo! Corre pra City e garanta o presente do seu paizão! Polo: 17,99 | Bermuda: 29,99 #DiadosPaisCitycol #NaCitycolTem #modabarata;Photo;NA;NA;2017-08-12T07:01:09Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;55;3
417092451820846_668997593296996;https://www.facebook.com/lojascitycol/photos/a.418868384976586/668997593296996/?type=3;Detalhes que amamos mostrar pra vocês!🌸 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-11T16:00:53Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;193;5
417092451820846_668828306647258;https://www.facebook.com/lojascitycol/photos/a.418868384976586/668828306647258/?type=3;Aquela bermuda clássica que todo pai deve ter! Corre para garantir o presente dele! R$29,99 #DiadosPaisCitycol #NaCitycolTem #modabarata;Photo;NA;NA;2017-08-11T07:02:00Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;3;85;4
417092451820846_668584883338267;https://www.facebook.com/lojascitycol/photos/a.418868384976586/668584883338267/?type=3;As estampas florais continuam com tudo na Citycol! Vem garantir a sua blusinha preferida! R$19,99 #CityBloggers #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-10T16:04:28Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;2;205;4
417092451820846_668437713352984;https://www.facebook.com/lojascitycol/photos/a.418868384976586/668437713352984/?type=3;Corre que ainda dá tempo de garantir o presente do seu paizão! R$19,99  #DiadosPaisCitycol #NaCitycolTem #modabarata;Photo;NA;NA;2017-08-10T07:01:23Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;5;56;1
417092451820846_668212096708879;https://www.facebook.com/lojascitycol/photos/a.418868384976586/668212096708879/?type=3;E o nosso time continua crescendo e nós estamos super felizes em ter vocês do nosso ladinho todos os dias!😍💙 #30k #obrigada #modabarata;Photo;NA;NA;2017-08-09T16:01:00Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;77;NA
417092451820846_668058310057591;https://www.facebook.com/lojascitycol/photos/a.418868384976586/668058310057591/?type=3;Novidades e mais novidades esperam por vocês na loja de Rio Bonito! Vem! #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-09T07:02:08Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;4;395;9
417092451820846_667838996746189;https://www.facebook.com/lojascitycol/photos/a.418868384976586/667838996746189/?type=3;As bermudas de moletom além de confortáveis, são mega estilosas! Aposte! R$29,99 - Blusa: 24,99 #DiadosPaisCitycol #modabarata #lookdodia;Photo;NA;NA;2017-08-08T16:01:10Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;3;91;2
417092451820846_667691626760926;https://www.facebook.com/lojascitycol/photos/a.418868384976586/667691626760926/?type=3;Detalhes das regatinhas que são o maior sucesso na City! R$19,99 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-08T07:01:23Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;5;210;3
417092451820846_667460963450659;https://www.facebook.com/lojascitycol/photos/a.418868384976586/667460963450659/?type=3;Mais cores das nossas bermudas para eles! R$29,99 #DiadosPaisCitycol #NaCitycolTem #modabarata;Photo;NA;NA;2017-08-07T16:01:06Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;5;96;5
417092451820846_667302663466489;https://www.facebook.com/lojascitycol/photos/a.418868384976586/667302663466489/?type=3;Flores e novidades incríveis esperam por vocês na nossa loja da Penha! Vem vem! #modabarata #NaCitycolTem #lookdodia;Photo;NA;NA;2017-08-07T07:01:20Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;2;443;22
417092451820846_667036860159736;https://www.facebook.com/lojascitycol/photos/a.418868384976586/667036860159736/?type=3;Seu pai adora uma regata? #NaCitycolTem - R$16,99 #DiadosPaisCitycol  #modabarata;Photo;NA;NA;2017-08-06T14:00:40Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;8;110;5
417092451820846_666590726871016;https://www.facebook.com/lojascitycol/photos/a.418868384976586/666590726871016/?type=3;Vem pra City e garanta o melhor presente para o seu pai!! A nossa loja de Queimados está incrível, cheia de novidades esperando por você!😉 #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-05T11:00:13Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;10;167;10
417092451820846_666283263568429;https://www.facebook.com/lojascitycol/photos/a.418868384976586/666283263568429/?type=3;Aquelas blusinhas tem-que-ter para a próxima estação!🌸 R$19,99! #CityBloggers #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-08-04T16:00:58Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;12;522;22
417092451820846_666133260250096;https://www.facebook.com/lojascitycol/photos/a.418868384976586/666133260250096/?type=3;Aquele zoom na estampa da blusa do look anterior para vocês verem de pertinho!😉 #NaCitycolTem #modabarata #detalhes;Photo;NA;NA;2017-08-04T07:01:40Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;2;95;1
417092451820846_665900700273352;https://www.facebook.com/lojascitycol/photos/a.418868384976586/665900700273352/?type=3;Para os pais mais descolados, esse look é uma ótima opção! #ficadica - bermuda: 29,99 | blusa: 24,99  Agradecemos ao @antonioluiz81 e a @crossfit_jb por esse shooting incrível!😉 #DiadosPaisCitycol #NaCitycolTem #modabarata;Photo;NA;NA;2017-08-03T16:01:31Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;7;107;2
417092451820846_665750370288385;https://www.facebook.com/lojascitycol/photos/a.418868384976586/665750370288385/?type=3;Bermudas de sarja para o seu pai? #NaCitycolTem  R$29,99 #DiadosPaisCitycol #modabarata;Photo;NA;NA;2017-08-03T07:01:36Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;7;98;3
417092451820846_665518896978199;https://www.facebook.com/lojascitycol/photos/a.418868384976586/665518896978199/?type=3;"Aquele presente sem erro: calça jeans + camisa polo!👌 - Calça: a partir de 39,99 ; Polo: 17,99 Agradecemos ao @antonioluiz81 e a @crossfit_jb por esse shooting fotográfico especial de Dia dos Pais que ficou mesmo especial! 😉#DiadosPaisCitycol #NaCitycolTem #modabarata";Photo;NA;NA;2017-08-02T16:00:10Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;7;816;6
417092451820846_665377066992382;https://www.facebook.com/lojascitycol/photos/a.418868384976586/665377066992382/?type=3;Aquela camisa polo que ficou incrível no @antonioluiz81 e que todo pai deve ter no armário! R$17,99 #DiadosPaisCitycol #NaCitycolTem #modabarata;Photo;NA;NA;2017-08-02T07:00:19Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;8;911;10
417092451820846_665177553679000;https://www.facebook.com/lojascitycol/photos/a.418868384976586/665177553679000/?type=3;"Aquele estilo casual que o seu pai adora e não dispensa? Olha que incrível esse look do @antonioluiz81, professor de crossfit e modelo, que #NaCitycolTem - T-Shirt: 24,99 ; Bermuda de moletom : 29,99 #DiadosPaisCitycol #modabarata #lookdodia";Photo;NA;NA;2017-08-01T16:00:22Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;16;1152;13
417092451820846_665004277029661;https://www.facebook.com/lojascitycol/photos/a.418868384976586/665004277029661/?type=3;"Presentes estilosos e com aquele preço amigo? #NaCitycolTem 👌- Regata R$19,99 ; T-Shirt: R$24,99 #DiadosPaisCitycol #modabarata";Photo;NA;NA;2017-08-01T07:00:17Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;13;1473;14
417092451820846_664813540382068;https://www.facebook.com/lojascitycol/photos/a.418868384976586/664813540382068/?type=3;Loja florida? TEMOS! Essa é a da Praça Seca!🌺😍 Vem pra City! #modabarata #NaCitycolTem #lookdodia;Photo;NA;NA;2017-07-31T16:00:17Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;41;3878;105
417092451820846_664597170403705;https://www.facebook.com/lojascitycol/photos/a.418868384976586/664597170403705/?type=3;O nosso longo floral virou queridinho das City Bloggers!😍 Também não é para menos, né?🙃💙 @plusisters #regram #CityBloggers #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-07-31T07:01:31Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;2;194;16
417092451820846_664361180427304;https://www.facebook.com/lojascitycol/photos/a.418868384976586/664361180427304/?type=3;A loja da Frederico Meier também está pronta para receber a nova estação com o Preview Verão Citycol. Vocês vão adorar! 😉 #modabarata #NaCitycolTem #lookdodia;Photo;NA;NA;2017-07-30T14:00:28Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;4;2215;31
417092451820846_663924413804314;https://www.facebook.com/lojascitycol/photos/a.418868384976586/663924413804314/?type=3;Porque nós amamos t-shirts estampadas e a @soaresdriii também! 😍 #regram #NaCitycolTem #modabarata #lookdodia;Photo;NA;NA;2017-07-29T10:00:21Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;4;203;12
417092451820846_663602050503217;https://www.facebook.com/lojascitycol/photos/a.418868384976586/663602050503217/?type=3;O Preview Verão Citycol já chegou na loja da Conde de Bonfim, na Tijuca! A coleção estã linda! Venha conferir. #modabarata #NaCitycolTem #lookdodia;Photo;NA;NA;2017-07-28T16:00:41Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;10;2198;22
417092451820846_663439640519458;https://www.facebook.com/lojascitycol/photos/a.418868384976586/663439640519458/?type=3;Continuando no clima tropical, temos o #regram da musa Tathi (@achados_poderosos_) com o nosso vestido longo floral!🌺💙;Photo;NA;NA;2017-07-28T07:01:10Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;2;230;12
